index,United States,Saudi Arabia,Russia,Canada,Iraq,Iran,China,UAE,Brazil,Kuwait,Mexico,Nigeria,Kazakhstan,Qatar,Norway,Angola,Algeria,Venezuela,U.K.,Libya,Oman,Colombia,Indonesia,India,Azerbaijan,Malaysia,Egypt,Argentina,Ecuador,Thailand,Australia,Congo (Brazzaville),Turkmenistan,Vietnam,Gabon,Equatorial Guinea,Ghana,Germany,Peru,Chad,South Sudan,South Africa,Denmark,Italy,Brunei,Sudan,Pakistan,Trinidad and Tobago,France,Bolivia,Romania,Cameroon,Netherlands,Turkey,Uzbekistan,Cote dIvoire (IvoryCoast),Cuba,Ukraine,Bahrain,Poland,Tunisia,Papua New Guinea,"Korea, South",Timor-Leste (East Timor),Spain,Hungary,Belarus,New Zealand,Syria,Austria,Philippines,Mongolia,Belgium,Serbia,Congo (Kinshasa),Suriname,Estonia,Yemen,Croatia,Albania,Czech Republic,Guatemala,Singapore,Burma (Myanmar),Japan,Slovakia,Chile,Niger,Finland,Portugal,Greece,Sweden,Paraguay,Lithuania,Mauritania,Bulgaria,Bangladesh,Belize,Jamaica,Costa Rica,Latvia,Barbados,Kyrgyzstan,Switzerland,Uruguay,Kenya,Zimbabwe,Swaziland,Ireland,Mauritius,Panama,Georgia,Israel,Ethiopia,Mozambique,Slovenia,Macedonia,Taiwan,Malawi,Tajikistan,Nicaragua,Morocco,Hong Kong,Jordan,Afghanistan,American Samoa,Antarctica,Antigua and Barbuda,Armenia,Aruba,"Bahamas, The",Benin,Bermuda,Bhutan,Bosnia and Herzegovina,Botswana,Burkina Faso,Burundi,Cambodia,Cape Verde,Cayman Islands,Central African Republic,Comoros,Cook Islands,Cyprus,Djibouti,Dominica,Dominican Republic,El Salvador,Eritrea,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,French Guiana,French Polynesia,"Gambia, The",Gibraltar,Greenland,Grenada,Guadeloupe,Guam,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Iceland,Kiribati,"Korea, North",Laos,Lebanon,Lesotho,Liberia,Luxembourg,Macau,Madagascar,Maldives,Mali,Malta,Martinique,Moldova,Montenegro,Montserrat,Namibia,Nauru,Nepal,Netherlands Antilles,New Caledonia,Niue,Palestinian Territories,Puerto Rico,Reunion,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent/Grenadines,Samoa,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Solomon Islands,Somalia,Sri Lanka,Tanzania,Togo,Tonga,Turks and Caicos Islands,U.S. Pacific Islands,Uganda,Vanuatu,"Virgin Islands, U.S.","Virgin Islands, British",Wake Island,Western Sahara,Zambia
1992-01-01,7171,8332,7632,1605,425,3429,2845,2266,626,1058,2669,1943,444,423,2132,526,1202,2371,1986,1433,746,439,1579,589,222,666,895,583,324,65,591,174,110,106,298,1.6,1.1,85,117,0,--,129,163,86,177,0.3,64,142,70,28,143,140,67,84,66,1.5,18,96,44,3.2,114,53,0,--,31,46,40,55,483,24,8,0,0,--,26,5,0,182,42,11,--,4.8,0,15,20,--,26,0,0,0,14,0.018,0,0,0,1.1,1.1,0,0,0,0,1.4,2.3,0,0,0,0,0,0,0,0,2.9,0.2,0,0,0,0,3,0,1.3,0,0.2,0,0.05,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-01-01,6847,8198,6730,1679,512,3540,2890,2159,643,1852,2673,1960,408,413,2282,509,1167,2450,2084,1361,781,461,1589,564,208,660,908,629,348,67,558,181,90,120,313,4.5,1.6,81,127,0,--,183,174,86,178,0.3,63,141,68,29,137,127,67,76,85,0.5,22,92,53,5,102,126,0,--,24,45,40,58,562,22,9.1,0,0,--,25,5,0,220,43,11,2.2,7,0,14,19,1.3,26,0,0,0,12,0.01,0,1.6,0,1,1.2,0,0,0,0,1.3,2,0,0,0,0,0,0,0,0,2,0.2,0,0,0.05,0,2,0,0.8,0,0.2,0,0.031,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-01-01,6661.627397,8119.873973,6135.084932,1746.194521,552.5342466,3618.054795,2939.287671,2193.241096,671.4246575,2025.139726,2782.158904,1930.923288,414.9041096,414.8767123,2569.767123,536.3972603,1155,2588.010959,2592.671233,1377.589041,816.2465753,454.9342466,1590.219178,634.7123288,191.909589,673.9863014,913.8054795,694.109589,367.9205479,77.56986301,592.309589,179.9041096,84.91506849,140.5068493,328.5479452,5.010958904,1.4,78.57260274,128.9178082,0,--,183,184.9780822,89.14657534,180.4356164,0.1,57.73972603,138.6,69.15342466,30.5,141.6164384,107.9452055,103.2273973,72,114.9972603,6.8,26,93,54,5,95.68493151,109.7561644,0,--,21,60.33424658,39.75068493,54.77534247,567.8219178,21.7,6.113972603,0,0,--,26.26027397,6,0,335.2191781,46,11,2.5,8.291780822,0,14.04246575,17.61232877,1.3,24.4109589,0,0,0,11.14657534,0,0,2.9,0,1.1,1.6,0,0,0,0,1.2,1.616164384,0,0,0,0,0,0,0,0,1.808493151,0.1,0,0,0,0,2.1,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-01-01,6559.589041,8231.232877,5995.221918,1805.271233,560,3643.219178,2990.049315,2232.649315,695.4246575,2057.410959,2711.564384,1992.753425,414.0356164,441.6876712,2765.750685,646.2328767,1161.794521,2750.136986,2755.764384,1390,861.2876712,589.7986301,1578.684932,750.4520548,182.0575342,714.4931507,939,756.5753425,395.0273973,88.3260274,613.7945205,187.8739726,80.99178082,173.3013699,364.7068493,5.001643836,4,79,130.6219178,0,--,192,186.0767123,96.68219178,175.6438356,0.2,62,138.8465753,62.25479452,34.49178082,141,111,86.97260274,67.47945205,159.9835616,8.023287671,27.76712329,91,51,4.6,90.15068493,100.0575342,0,--,16.83287671,58,38.58082192,45.32876712,587.9726027,23.60410959,3.361643836,0,0,--,30,7.028767123,0,344.9589041,40.1,10,3,9.528767123,0,9.9,17.8,1.4,23.57808219,0,0,0,9.6,0,0,3.2,0,1,1.3,0,0,0,0,1.3,2,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,1.7,0,0.7,0,0.3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-01-01,6464.557377,8218.117486,5849.874317,1836.674863,578.5437158,3685.710383,3131.338798,2277.650273,795.0027322,2061.693989,2944.144809,2000.598361,456.6284153,510.4781421,3090.915301,708.784153,1227.144809,2937.961749,2827.038251,1400.846995,893.3879781,632.9644809,1627.486339,731.0245902,181.9808743,727.0273224,942.6666667,799.9836066,399.9781421,95.78415301,631.7486339,200.9262295,87.90983607,175.4508197,368.3606557,17,6,78.41256831,120.8360656,0,--,195,207.9234973,104.9983607,166.3961749,1.992349727,58,138.179235,55.16393443,36.86393443,142,108.0163934,81.23770492,67.17759563,164.8196721,16,32,92,45,5,87.99453552,103.3606557,0,--,10.3442623,60.32513661,36.16120219,44.52185792,605.5901639,22.49726776,2,0,0,--,30,7.49726776,0,340.4371585,36,9.5,4.3,12.83060109,0,8.2,18.38743169,1.6,21.2,0,0,0,9,0,0,3.007923497,0,0.7,1.6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1.2,0.2,0,0,0,0,2.2,0,0.6,0,5.3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-01-01,6451.435616,8362.175342,5920.084932,1922.394521,1155.057534,3664.178082,3200.342466,2316.424658,841.1972603,2007.268493,3104.052055,2132.536986,520.9780822,549.8630137,3141.679452,713.8082192,1258.739726,3279.953425,2750.846575,1445.917808,909.9835616,656.2589041,1604.810959,759.6246575,179.9753425,761.8027397,879.4575342,881.6712329,391.3452055,121.8383562,658.5616438,265.2328767,106.0109589,191.260274,370.3287671,52.42191781,5,75,119.4109589,0,--,196,230.4821918,114.2890411,175.0410959,4.979178082,60,132.1369863,45.56575342,37.13835616,140.4,124,76.74246575,67.91780822,157.6027397,18.76712329,32.7,93,51,6,84.94794521,80.09863014,6,--,7.6,65.4,36.34246575,65.55205479,584.2328767,19.7,1,0,0,--,28.32876712,5,7.3,362.2164384,36.3,9.165753425,3.5,16,0,9.2,17.32356164,1.5,14.36684932,0,0,0,9.879452055,0,0,3.834246575,0,0.6,1.8,0,0,0,0,0.9,1.8,0,0,0,0,0,0,0,0,2.675342466,0.3,0,0,0,0,1.7,0,0.6,0,5,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-01-01,6251.909589,8388.90411,5853.882192,1981.084932,2150.041096,3633.767123,3198.178082,2345.30137,968.6273973,2085.342466,3159.372603,2153.457534,526.0575342,695.6027397,3011.243836,735.0821918,1226.410959,3167.013699,2856.345205,1390.178082,905.8356164,736.8383562,1605.356164,751.4219178,237.0739726,820.1013699,857.8054795,896.6849315,379.0986301,135.0876712,613.7068493,277,126.9945205,245.5945205,351.7671233,83,5,78,116.4767123,0,--,199,238.3534247,109.5534247,179.2876712,10,58.31232877,130.6287671,39.89315068,43.6,138.3438356,121,79.0739726,65.25479452,160.9945205,20,33.5,88,48,7.4,81.25205479,79.0630137,8,--,11,50,36.41643836,54.51780822,576.369863,21.40410959,0.8,0.1,0,--,26.83835616,7,4.4,388.0684932,38.2,6.3,3.8,23.76712329,0,11.2,17.4,1.2,13.30410959,0,0,0,7.093150685,0,0,5.474794521,0,0.8,1.7,0,0,0,0,1.6,1.7,0,0,0,0,0,0,0,0,2.191506849,0.2,0,0,0,0,1.4,0,0.5,0,5.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-01-01,5881.460274,7833.391781,6078.983562,1906.635616,2507.876712,3557.164384,3194.994521,2169.246575,1131.772603,1897.717808,2998.380822,2129.863014,603.7041096,664.9479452,3018.70411,744.9178082,1177.30137,2825.646575,2922.164384,1318.958904,916.0958904,821.0246575,1559.082192,742.660274,282.9780822,788.030137,881.5890411,850.2328767,376.6438356,144.9013699,610.9506849,282.8383562,155.3671233,290,331.0273973,102,6,76,107.0547945,0,--,181.7,300.1808219,85.76986301,203.9232877,69.10958904,57.33561644,139.3189041,41.75287671,40.4,132.2109589,100,59.08493151,59.09863014,146.939726,15,40,85,48,11,84.32328767,96.65753425,9,--,6.079452055,46.48493151,36.5890411,49.95890411,562.2739726,19,0.9,0.2,0,--,22,10,3,409.1506849,31.6,5.575342466,8.460273973,23,0,9.7,16.31780822,0.9,12.4309589,0,0,0,0.939726027,0,0,4.651232877,0,0.8,1.6,0,0,0,0,1.9,1.608493151,0,0,0,0,0,0,0,0,2.2,0.2,0,0,0,0,1.3,0,0.5,0,5.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-01,5821.601095,8403.79918,6479.202,1976.893443,2570.68306,3696.3,3248.762295,2367.827869,1269,2078.5,3104.070492,2165,718,741.7241694,3221.517,746.4043716,1213.907104,3155,2507.757197,1410.027322,974,694.2765027,1518.38,739.2415301,286.0437158,755.704918,803.44,809.1420765,398.220765,169.6557377,792.5655738,292.1301093,157.172,316,315,167.5,7,86.81785792,99.488,0,--,188.7,362.9344262,95.5,215,186,58.02076503,141.1042077,44.00273224,39.39349727,128.4180328,84.82240437,54.58,52.676,151.3387978,11.49726776,43.1,82,48.37,14.41803279,80.73213115,70.062,13,--,6.35136612,46.56953552,37,45,550.8251366,20.4,1.144,0.179,0,--,26,10,4.747,437.7560492,30.339,5.656,7.766666667,20.68,0,12.256,18,1,10.851,0,0,0,5.64863388,0,0.04,5.984,0,0.851,2.7,0,0,0,0,1.53,2,0,0,0,0,0,0,0,0,2,0.08,0,0,0.02,0,1.038,0.2,0.389,0,5.3,0,0.04,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-01,5801.402738,8031.09589,6917,2029.172603,2390,3723.70137,3300.004,2205,1295.146,1997.5,3217.982137,2256.156164,814.8630137,729.5890274,3226.327,742.3835616,1265,3010,2540.704027,1366.547945,917,626.621,1421.616,745.3972603,307.1671233,732.1643836,758.398,850.4,414.9835616,173.761,732,266.6056247,167,356.7452055,270,181.4383562,7,83.863,97.056,0,--,196.3284795,346.6927397,82.46,217.225,209.1315068,64.605,133.9310438,40.17808219,43.8669863,131.214,76.64657534,46.20273973,48,154,11,51,83,47.3,16.56164384,72.628,67.5,12,--,8.698630137,45.7240411,37,41.16438356,517.94,21.06849315,8.460273973,0.202,0,--,24,10,5.1,440.8720822,28.562,5.952,7.169863014,21.08,0,10.171,17.33424658,1.7,11.695,0,0,0,5.791780822,0.46,0.02,9.555,0,0.603,3.580821918,0,0,0,0,1.271,2,0,0,0,0,0,0,0,0,2,0.08,0,0,0.014,0,1.1,0.2,0.326,0,5.4,0,0.04,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
