Year,Country,Production
1992,Saudi Arabia,8332.0
1992,Russia,7632.0
1992,United States,7171.0
1992,Iran,3429.0
1992,China,2845.0
1992,Mexico,2669.0
1992,Venezuela,2371.0
1992,UAE,2266.0
1992,Norway,2132.0
1992,U.K.,1986.0
1992,Nigeria,1943.0
1992,Canada,1605.0
1992,Indonesia,1579.0
1992,Libya,1433.0
1992,Algeria,1202.0
1992,Kuwait,1058.0
1992,Egypt,895.0
1992,Oman,746.0
1992,Malaysia,666.0
1992,Brazil,626.0
1993,Saudi Arabia,8198.0
1993,United States,6847.0
1993,Russia,6730.0
1993,Iran,3540.0
1993,China,2890.0
1993,Mexico,2673.0
1993,Venezuela,2450.0
1993,Norway,2282.0
1993,UAE,2159.0
1993,U.K.,2084.0
1993,Nigeria,1960.0
1993,Kuwait,1852.0
1993,Canada,1679.0
1993,Indonesia,1589.0
1993,Libya,1361.0
1993,Algeria,1167.0
1993,Egypt,908.0
1993,Oman,781.0
1993,Malaysia,660.0
1993,Brazil,643.0
1994,Saudi Arabia,8119.873973
1994,United States,6661.627397
1994,Russia,6135.084932
1994,Iran,3618.054795
1994,China,2939.287671
1994,Mexico,2782.158904
1994,U.K.,2592.671233
1994,Venezuela,2588.010959
1994,Norway,2569.767123
1994,UAE,2193.241096
1994,Kuwait,2025.139726
1994,Nigeria,1930.923288
1994,Canada,1746.194521
1994,Indonesia,1590.219178
1994,Libya,1377.589041
1994,Algeria,1155.0
1994,Egypt,913.8054795
1994,Oman,816.2465753
1994,Argentina,694.109589
1994,Malaysia,673.9863014
1995,Saudi Arabia,8231.232877
1995,United States,6559.589041
1995,Russia,5995.221918
1995,Iran,3643.219178
1995,China,2990.049315
1995,Norway,2765.750685
1995,U.K.,2755.764384
1995,Venezuela,2750.136986
1995,Mexico,2711.564384
1995,UAE,2232.649315
1995,Kuwait,2057.410959
1995,Nigeria,1992.753425
1995,Canada,1805.271233
1995,Indonesia,1578.684932
1995,Libya,1390.0
1995,Algeria,1161.794521
1995,Egypt,939.0
1995,Oman,861.2876712
1995,Argentina,756.5753425
1995,India,750.4520548
1996,Saudi Arabia,8218.117486
1996,United States,6464.557377
1996,Russia,5849.874317
1996,Iran,3685.710383
1996,China,3131.338798
1996,Norway,3090.915301
1996,Mexico,2944.144809
1996,Venezuela,2937.961749
1996,U.K.,2827.038251
1996,UAE,2277.650273
1996,Kuwait,2061.693989
1996,Nigeria,2000.598361
1996,Canada,1836.674863
1996,Indonesia,1627.486339
1996,Libya,1400.846995
1996,Algeria,1227.144809
1996,Egypt,942.6666667
1996,Oman,893.3879781
1996,Argentina,799.9836066
1996,Brazil,795.0027322
1997,Saudi Arabia,8362.175342
1997,United States,6451.435616
1997,Russia,5920.084932
1997,Iran,3664.178082
1997,Venezuela,3279.953425
1997,China,3200.342466
1997,Norway,3141.679452
1997,Mexico,3104.052055
1997,U.K.,2750.846575
1997,UAE,2316.424658
1997,Nigeria,2132.536986
1997,Kuwait,2007.268493
1997,Canada,1922.394521
1997,Indonesia,1604.810959
1997,Libya,1445.917808
1997,Algeria,1258.739726
1997,Iraq,1155.057534
1997,Oman,909.9835616
1997,Argentina,881.6712329
1997,Egypt,879.4575342
1998,Saudi Arabia,8388.90411
1998,United States,6251.909589
1998,Russia,5853.882192
1998,Iran,3633.767123
1998,China,3198.178082
1998,Venezuela,3167.013699
1998,Mexico,3159.372603
1998,Norway,3011.243836
1998,U.K.,2856.345205
1998,UAE,2345.30137
1998,Nigeria,2153.457534
1998,Iraq,2150.041096
1998,Kuwait,2085.342466
1998,Canada,1981.084932
1998,Indonesia,1605.356164
1998,Libya,1390.178082
1998,Algeria,1226.410959
1998,Brazil,968.6273973
1998,Oman,905.8356164
1998,Argentina,896.6849315
1999,Saudi Arabia,7833.391781
1999,Russia,6078.983562
1999,United States,5881.460274
1999,Iran,3557.164384
1999,China,3194.994521
1999,Norway,3018.70411
1999,Mexico,2998.380822
1999,U.K.,2922.164384
1999,Venezuela,2825.646575
1999,Iraq,2507.876712
1999,UAE,2169.246575
1999,Nigeria,2129.863014
1999,Canada,1906.635616
1999,Kuwait,1897.717808
1999,Indonesia,1559.082192
1999,Libya,1318.958904
1999,Algeria,1177.30137
1999,Brazil,1131.772603
1999,Oman,916.0958904
1999,Egypt,881.5890411
2000,Saudi Arabia,8403.79918
2000,Russia,6479.202
2000,United States,5821.601095
2000,Iran,3696.3
2000,China,3248.762295
2000,Norway,3221.517
2000,Venezuela,3155.0
2000,Mexico,3104.070492
2000,Iraq,2570.68306
2000,U.K.,2507.757197
2000,UAE,2367.827869
2000,Nigeria,2165.0
2000,Kuwait,2078.5
2000,Canada,1976.893443
2000,Indonesia,1518.38
2000,Libya,1410.027322
2000,Brazil,1269.0
2000,Algeria,1213.907104
2000,Oman,974.0
2000,Argentina,809.1420765
2001,Saudi Arabia,8031.09589
2001,Russia,6917.0
2001,United States,5801.402738
2001,Iran,3723.70137
2001,China,3300.004
2001,Norway,3226.327
2001,Mexico,3217.982137
2001,Venezuela,3010.0
2001,U.K.,2540.704027
2001,Iraq,2390.0
2001,Nigeria,2256.156164
2001,UAE,2205.0
2001,Canada,2029.172603
2001,Kuwait,1997.5
2001,Indonesia,1421.616
2001,Libya,1366.547945
2001,Brazil,1295.146
2001,Algeria,1265.0
2001,Oman,917.0
2001,Argentina,850.4
2002,Saudi Arabia,7634.39589
2002,Russia,7408.173
2002,United States,5744.076712
2002,Iran,3444.30137
2002,China,3389.652055
2002,Mexico,3262.894795
2002,Norway,3130.584
2002,Venezuela,2603.945205
2002,U.K.,2503.279178
2002,Canada,2170.6
2002,Nigeria,2117.863014
2002,UAE,2081.994521
2002,Iraq,2023.0
2002,Kuwait,1894.160274
2002,Brazil,1455.191781
2002,Algeria,1349.0
2002,Indonesia,1329.027397
